id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45879401,Quit location close to airport and Oerlikon - 歡迎！,350815367,Assad,Kreis 11,Seebach,47.42024,8.55253,Private room,,5,0,,,1,0,0,
45887289,Gemütliches Studio im charmanten Zürich Seefeld,83271512,José-Luis,Kreis 8,Seefeld,47.35509,8.5538,Entire home/apt,,2,11,2023-10-24,0.19,23,0,0,
45920313,Beste ruhige Lage am Rennweg/ Bahnhofstraße (F/D),13570663,Christian Robert,Kreis 1,Lindenhof,47.37428,8.53891,Entire home/apt,90,7,100,2025-08-13,1.69,45,334,20,
45935492,Chalet Style old town  pedestrian area Zurich,319055544,Florian,Kreis 1,Hochschulen,47.37595,8.54494,Entire home/apt,144,7,19,2025-07-10,0.33,2,365,4,
46019912,🌸Perfect located Studio in fancy Kreis 3🌸,173771622,Janine,Kreis 4,Werd,47.37399,8.52341,Entire home/apt,,2,62,2025-09-07,1.15,1,0,11,
46059525,The Zurich/Zürich Experience,64081888,Miljan,Kreis 4,Hard,47.37688,8.5146,Entire home/apt,110,3,1,2021-02-16,0.02,1,339,0,
46073568,Cozy apt in the heart of zurich w private rooftop,116346595,Christina,Kreis 4,Langstrasse,47.3765,8.52589,Private room,72,30,3,2020-11-08,0.05,2,365,0,
46073709,Cozy apartment in walking distance from station,116346595,Christina,Kreis 5,Gewerbeschule,47.3843,8.53176,Entire home/apt,,30,4,2020-11-12,0.07,2,0,0,
46112233,Boutique Design hotel room,182132458,Kurt,Kreis 9,Altstetten,47.384567,8.493582,Private room,137,3,3,2024-07-12,0.07,1,326,0,
46115080,Studio im pulsierenden Trendquartier von Zürich,338585685,Eva,Kreis 4,Langstrasse,47.38008,8.52681,Entire home/apt,181,3,111,2025-09-14,1.88,1,332,22,
46150507,Cozy 100m2 flat for 5 travellers with 2 bathrooms,305026346,Max,Kreis 6,Unterstrass,47.39005,8.54021,Entire home/apt,152,7,12,2025-09-08,0.22,1,27,6,
46168649,Bird's eye view of Zurich,4953565,Eoin,Kreis 3,Sihlfeld,47.37857,8.50657,Entire home/apt,,2,3,2021-05-03,0.06,1,0,0,
46215258,Cosy private doubleroom in creative shared Villa,119640383,Rayén,Kreis 7,Hirslanden,47.36211,8.56172,Private room,,2,56,2023-03-04,0.96,6,0,0,
46215566,Stadt Zürich 4203 Studio nähe Albisriederplatz,19610180,Rossana,Kreis 3,Sihlfeld,47.37923,8.50674,Entire home/apt,98,1,149,2025-08-30,3.23,19,85,16,
46334838,Heart of Zurich: Beautiful 60m2 flat + balcony,173075242,Au,Kreis 5,Gewerbeschule,47.38179125885386,8.530996647844148,Entire home/apt,130,3,126,2025-09-27,2.15,1,32,40,
46369256,"Schöne, zentrale Wohnung für Silvester",8296108,Christina,Kreis 6,Unterstrass,47.39052,8.53852,Entire home/apt,,4,0,,,1,0,0,
46499390,Zimmer / Single Room  in Oerlikon  ohne Komfort,88485570,Konitoggi,Kreis 11,Oerlikon,47.40892,8.53661,Private room,65,1,1,2023-06-15,0.04,1,364,0,
46524637,historic renovated chalet in Zurich 4rooms/1.5bath,376271668,Joseph,Kreis 2,Wollishofen,47.34347,8.5368,Entire home/apt,442,120,29,2024-01-02,0.56,1,365,0,
46555663,Light apartment in a very quiet area,344609323,Matthias,Kreis 11,Oerlikon,47.40632,8.54104,Entire home/apt,,5,1,2021-01-08,0.02,1,0,0,
46613406,Cosy flat in the city,376770217,Berta,Kreis 5,Escher Wyss,47.38695,8.51633,Entire home/apt,,1,0,,,1,0,0,
46615115,"Cosy room with a garden view, 20min to Zürich bhf.",23713763,Inna,Kreis 11,Oerlikon,47.40978,8.53373,Private room,58,2,192,2025-07-02,3.38,1,4,18,
46674681,Cozy apartment Lochergut,250351594,Carolien,Kreis 4,Hard,47.37747,8.51602,Entire home/apt,,10,1,2021-01-01,0.02,1,0,0,
46694814,Affordable private room in a modern WG apartment!,30291080,Amrollah,Kreis 11,Affoltern,47.42275,8.50567,Private room,,15,0,,,1,0,0,
46705800,Modern industrial loft (64m2) in central Zurich,19155647,Foivos,Kreis 7,Hirslanden,47.36138,8.56493,Entire home/apt,,6,0,,,1,0,0,
